freq,unit,geo\TIME_PERIOD	2004-Q1 	2004-Q2 	2004-Q3 	2004-Q4 	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 
Q,MIO_PKM,LV	176 	202 	232 	201 	187 	222 	257 	223 	204 	239 	279 	264 	217 	254 	274 	237 	207 	240 	272 	222 	193 	199 	192 	164 	172 	189 	204 	176 	156 	190 	210 	177 	157 	186 	200 	174 	158 	188 	205 	169 	146 	165 	183 	150 	132 	152 	169 	138 	124 	154 	165 	141 	131 	153 	167 	145 	133 	164 	175 	151 	140 	169 	180 	154 	124 	72 	133 	84 	60 	88 	122 	91 	92 	140 	167 	140 	129 	155 	175 
Q,MIO_PKM,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20 	28 	42 	21 	23 	31 	45 	27 	20 	26 	35 	19 	24 	19 	33 	15 	13 	17 	23 	13 	8 	15 	26 	13 	12 	16 	28 	17 	17 	18 	23 	17 	15 	21 	27 	18 	17 	19 	31 	17 	13 	14 	20 	13 	12 	17 	23 	14 	12 	17 	24 	13 	10 	3 	9 	6 	4 	9 	16 	8 	7 	14 	19 	11 	11 	18 	: 
Q,MIO_PKM,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37 	41 	36 	40 	35 	40 	39 	40 	35 	38 	36 	36 	29 	24 	24 	22 	19 	21 	21 	20 	17 	18 	22 	24 	16 	23 	61 	78 	27 	19 	19 	19 	12 	15 	15 	17 	16 	18 	14 	16 	15 	16 	14 	17 	10 	3 	7 	6 	6 	6 	7 	7 	6 	12 	12 	16 	12 	9 	6 
Q,MIO_PKM,NL	: c	: c	: c	3823 	3524 	3792 	3565 	4102 	3803 	4006 	3727 	4160 	3832 	3981 	3813 	4257 	3846 	4186 	3932 	4379 	3815 	4152 	4007 	4481 	4114 	4211 	4040 	4535 	4406 	4376 	4072 	4625 	4363 	3900 	4420 	5088 	4567 	4790 	4561 	5126 	4817 	5041 	4811 	5336 	4238 	4427 	4163 	4695 	4352 	4541 	4278 	4809 	4466 	4656 	4392 	4923 	4581 	4770 	4507 	5038 	4695 	4885 	4621 	5152 	4006 	1049 	2086 	2024 	1579 	2368 	3168 	3738 	3319 	4654 	4155 	4977 	4558 	4912 	4706 
Q,MIO_PKM,NO	679 	654 	661 	670 	652 	697 	673 	678 	683 	658 	674 	725 	753 	747 	750 	741 	718 	731 	803 	779 	705 	716 	796 	776 	691 	712 	808 	822 	724 	701 	788 	735 	783 	772 	765 	784 	790 	831 	832 	807 	829 	868 	898 	858 	878 	903 	921 	861 	902 	931 	969 	871 	886 	886 	907 	926 	911 	948 	926 	974 	960 	967 	926 	958 	762 	273 	416 	336 	278 	353 	520 	645 	600 	955 	806 	871 	859 	884 	850 
Q,MIO_PKM,PL	4190 	4590 	5101 	4329 	3964 	4291 	5116 	4308 	4205 	4635 	5208 	4341 	4178 	4755 	5594 	4621 	4508 	4956 	5631 	4563 	4177 	4645 	5170 	4201 	3955 	4396 	4912 	4357 	3999 	4484 	4947 	4218 	3989 	4350 	4751 	4061 	3829 	4153 	4619 	3872 	3693 	3820 	4338 	3610 	3705 	4211 	4877 	4232 	3710 	4631 	5391 	4568 	4538 	5108 	5591 	4711 	4599 	5237 	6062 	5065 	4901 	5452 	6280 	5341 	4338 	1651 	4123 	2409 	2485 	3326 	5496 	4439 	4458 	6031 	7154 	5884 	5433 	6387 	7493 
Q,MIO_PKM,PT	858 	938 	964 	931 	894 	955 	955 	948 	924 	992 	996 	964 	943 	995 	1029 	1020 	1003 	1062 	1108 	1039 	983 	1056 	1084 	1029 	979 	1045 	1062 	1025 	1006 	1063 	1086 	989 	945 	978 	978 	901 	835 	938 	957 	920 	896 	978 	1021 	957 	919 	996 	1042 	982 	943 	1063 	1104 	1035 	1000 	1132 	1171 	1089 	1036 	1157 	1211 	1085 	1063 	1274 	1354 	1273 	973 	283 	668 	628 	407 	674 	844 	968 	903 	1145 	1224 	1148 	1030 	1189 	1317 
Q,MIO_PKM,RO	1792 	2153 	2657 	2031 	1862 	1843 	2353 	1902 	1765 	1982 	2390 	1929 	1753 	1879 	2134 	1651 	1531 	1715 	2065 	1566 	1344 	1532 	1769 	1330 	1153 	1350 	1537 	1208 	1092 	1294 	1553 	1105 	884 	1165 	1400 	1069 	905 	1090 	1367 	989 	1043 	1233 	1531 	1163 	1015 	1228 	1517 	1151 	993 	1175 	1489 	1073 	1104 	1383 	1579 	1490 	1126 	1354 	1617 	1329 	1215 	1451 	1684 	1386 	1102 	592 	1130 	785 	830 	937 	1415 	922 	999 	1497 	1740 	1380 	1278 	1466 	: 
Q,MIO_PKM,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	43 	122 	120 	141 	109 	131 	: 
Q,MIO_PKM,SE	2175 	2136 	2090 	2233 	2177 	2187 	2180 	2366 	2330 	2388 	2302 	2597 	2485 	2592 	2467 	2716 	2699 	2816 	2704 	2927 	2809 	2838 	2722 	2953 	2664 	2842 	2739 	2910 	2739 	2867 	2818 	2955 	2874 	2940 	2901 	3077 	2902 	3019 	2936 	3000 	2927 	3051 	2976 	3073 	3046 	3154 	3170 	3279 	3054 	3223 	3209 	3314 	3256 	3369 	3285 	3421 	3304 	3454 	3264 	3525 	3540 	3692 	3620 	3765 	3324 	1250 	1892 	1662 	1311 	1580 	2345 	2792 	: c	: c	: c	: c	: c	: c	: c
